1: Title: Somewhere Over the Rainbow, Artist: Judy Garland, Genre: Pop, Emotion: Uplifting
2: Title: Lose Yourself, Artist: Eminem, Genre: HipHop, Emotion: Motivated
3: Title: Clair de Lune, Artist: Claude Debussy, Genre: Classical, Emotion: Calm
4: Title: Happy, Artist: Pharrell Williams, Genre: Pop, Emotion: Happy
5: Title: Eye of the Tiger, Artist: Survivor, Genre: Rock, Emotion: Energized
6: Title: Someone Like You, Artist: Adele, Genre: Pop, Emotion: Sad
7: Title: Shake It Off, Artist: Taylor Swift, Genre: Pop, Emotion: Joyful
8: Title: Under Pressure, Artist: Queen, Genre: Rock, Emotion: Stressed
9: Title: Bohemian Rhapsody, Artist: Queen, Genre: Rock, Emotion: Eclectic
10: Title: Rolling in the Deep, Artist: Adele, Genre: Pop, Emotion: Sad
11: Title: Country Roads, Artist: John Denver, Genre: Country, Emotion: Calm
12: Title: Jolene, Artist: Dolly Parton, Genre: Country, Emotion: Sad
13: Title: Dance the Night, Artist: Dua Lipa, Genre: Pop, Emotion: Happy
14: Title: Need You Now, Artist: Lady A, Genre: Country, Emotion: Lonely
15: Title: Single Ladies (Put a ring on It), Artist: Beyonce, Genre: Pop, Emotion: Energized
16: Title: Lookin' for Love, Artist: Johnny Lee, Genre: Country, Emotion
17: Title: Party in the U.S.A, Artist: Miley Cyrus, Genre: Pop, Emotion: Energized
18: Title: I Fall to Pieces, Artist: Patsy Cline and The Jordanaires, Genre: Country, Emotion: Sad
